PROCEDURE_CAT;PROCEDURE_SCHEM;PROCEDURE_NAME;COLUMN_NAME;COLUMN_TYPE;DATA_TYPE;TYPE_NAME;PRECISION;LENGTH;SCALE;RADIX;NULLABLE;REMARKS
FLC_RU;alexs;stat_sts_v2;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;alexs;stat_sts_v2;1;@MEMBER_ID;1;2;numeric;18;9;0;0;2;null
FLC_RU;alexs;stat_sts_v2;1;@CHANNEL_ID;1;4;int;10;4;0;0;2;null
FLC_RU;alexs;stat_sts_v2;1;@PAY_COUNT;2;4;int;10;4;0;0;2;null
FLC_RU;alexs;stat_sts_v2;1;@PAY_SUM;2;3;decimal;14;7;4;0;2;null
FLC_RU;alexs;stat_sts_v2;1;@SENT_COUNT;2;4;int;10;4;0;0;2;null
FLC_RU;alexs;stat_sts_v2;1;@RETURNED_COUNT;2;4;int;10;4;0;0;2;null
FLC_RU;alexs;stat_sts_v2_1;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;alexs;stat_sts_v2_1;1;@MEMBER_ID;1;2;numeric;18;9;0;0;2;null
FLC_RU;alexs;stat_sts_v2_1;1;@CHANNEL_ID;1;4;int;10;4;0;0;2;null
FLC_RU;alexs;stat_sts_v2_1;1;@PAY_COUNT;2;4;int;10;4;0;0;2;null
FLC_RU;alexs;stat_sts_v2_1;1;@PAY_SUM;2;3;decimal;14;7;4;0;2;null
FLC_RU;alexs;stat_sts_v2_1;1;@SENT_COUNT;2;4;int;10;4;0;0;2;null
FLC_RU;alexs;stat_sts_v2_1;1;@RETURNED_COUNT;2;4;int;10;4;0;0;2;null
FLC_RU;alexs;stat_sts_v2_1;1;@INPUT_COUNT;2;4;int;10;4;0;0;2;null
FLC_RU;alexs;stat_sts_v3;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;alexs;stat_sts_v3;1;@MEMBER_ID;1;2;numeric;18;9;0;0;2;null
FLC_RU;alexs;usp_class_fact_set;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;alexs;usp_class_fact_set;1;@FACT_ID;1;5;smallint;5;2;0;0;2;null
FLC_RU;alexs;usp_class_function_0;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
